TeacherID,I_LevelMathTaught_MC,I_YearsTeach_SC,I_CLFrequency_LK,I_WhatPreplanForCL_MC,I_PairCriteria_MC,I_CurrentContext_SC,I_PandemicAffectCL_SC,I_UseOfTutor_SC,I_Gender_SC,I_Country_SC,I_State_SC,I_Ethnicity_SC,FavS1_LK,EnterInfo_LK,SameDiffCriteria_SC,FavS2_LK,AutoPair_LK,WhenAutoPair_MC,FavS3_LK,Explain_LK,StuInfoYes_MC,StuInfoNo_MC,FavS4_LK,NotifyRisky_LK,HowRejectStu_SC,FavS5_LK,SystemReview_LK,SystemOverride_LK,FavS6_LK,InterveneUnproductive_LK,HowAIIntervene_MC,BehaviorNotifyYes_MC,BehaviorNotifyNo_MC,WhoPropose_MC,WhoDecide_MC,HowReward_MC,PublicPrivateReward_SC,FrequencyChangePartner_SC,KnowPartner_SC
11,Middle school,7-9 years,Sometimes (about 50% of the time),"I have a rough plan for how to form groups, which I then execute in class","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge,Other, please specify",Fully Online / Remote,Yes,"Yes, out-of-class time",Female,United States of America,Washington,White,Probably yes,Probably no,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Neither likely nor unlikely,Agree,"When you are helping other students,When you are off work",Definitely yes,Strongly agree,"Overall error rate,Recent math errors,Past pairings,Math skill mastery","Friendships,Which problem each student is working on,Gender,Students' personality",Probably yes,Strongly agree,simply be paired with a different partner without further explanation. (e.g. “You proposed to work with Jay. You’ve been paired with Nia.”),Probably no,Somewhat disagree,Disagree,Very likely,Somewhat agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive","The solver continues to struggle even with the helper's help,The helper directly tells the solver answers to a problem without explanation,Use aggressive language,Are idle (the solver is not working or the helper is not responding)",Socialize and chat frequently,"Teacher,Student,System",Teacher,"Verbal praise,Leader board,Virtual badges in software",Publicly,Other/ depends,Maybe
12,Middle school,Over 10 years,Sometimes (about 50% of the time),"I have a rough plan for how to form groups, which I then execute in class,I assign teams ahead of time (e.g., list the students in each team),I let student choose teammates","Randomly,Who have a different level of knowledge,Who sit closely to each other,Who are friends with each other",Fully Online / Remote,Yes,"Other, please briefly specify",Female,United States of America,California,White,Probably yes,Probably yes,Other,Neither likely nor unlikely,Neither agree nor disagree,When you are off work,Very likely,Strongly agree,"Which problem each student is working on,Math skill mastery,Overall error rate,Recent math errors,Past pairings,Friendships","Gender,Students' personality",Very likely,Agree,be told that the AI system and teacher together rejected their proposed pairing (e.g “The teacher and AI System both think it’s better for you to be paired with Nia”),Probably no,Somewhat agree,Disagree,Probably yes,Neither agree nor disagree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive,Separate the pair and pair each student with someone else","Use aggressive language,Are idle (the solver is not working or the helper is not responding),The helper directly tells the solver answers to a problem without explanation,The solver continues to struggle even with the helper's help",Socialize and chat frequently,"Teacher,Student,System",Teacher,"Verbal praise,Other",Depends,Every time they colaborate,Yes
13,Middle school,1-3 years,Occasionally (about 30% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I have a rough plan for how to form groups, which I then execute in class,I assign teams ahead of time (e.g., list the students in each team),I let student choose teammates","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge,Who sit closely to each other",Fully Online / Remote,Yes,"Yes, both in class and out-of-class time",Female,United States of America,Pennsylvania,White,Probably yes,Probably no,Other,Neither likely nor unlikely,Somewhat agree,When you are off work,Definitely yes,Strongly agree,"Math skill mastery,Recent math errors,Which problem each student is working on,Past pairings,Students' personality,Friendships","Gender,Overall error rate",Definitely yes,Strongly agree,be told that the teacher rejected their proposed pairing (e.g “The teacher thinks it’s better for you to be paired with Nia”),Probably no,Somewhat agree,Neither agree nor disagree,Definitely yes,Agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive,Separate the pair and let the students work individually,Separate the pair and pair each student with someone else","Use aggressive language,Are idle (the solver is not working or the helper is not responding),Socialize and chat frequently,The helper directly tells the solver answers to a problem without explanation,The solver continues to struggle even with the helper's help",,"Teacher,Student,System",Teacher,"Verbal praise,Virtual badges in software,Other",Depends,Other/ depends,Maybe
14,"Elementary school,Middle school",7-9 years,Frequently (about 70% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen)","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge,Who sit closely to each other",Hybrid of online and in-person,Yes,"Yes, both in class and out-of-class time",Female,United States of America,Florida,White,Definitely yes,Definitely yes,The same criterion for all students,Probably yes,Somewhat agree,When you are helping other students,Very likely,Strongly agree,"Which problem each student is working on,Recent math errors,Math skill mastery,Past pairings,Students' personality","Overall error rate,Friendships,Gender",Very likely,Strongly agree,simply be paired with a different partner without further explanation. (e.g. “You proposed to work with Jay. You’ve been paired with Nia.”),Probably no,Somewhat agree,Disagree,Definitely yes,Strongly agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive","Are idle (the solver is not working or the helper is not responding),Socialize and chat frequently,Use aggressive language,The solver continues to struggle even with the helper's help,The helper directly tells the solver answers to a problem without explanation",,"Teacher,Student,System",Teacher,"Verbal praise,Leader board,Other",Depends,Once a week,Maybe
15,Elementary school,4-6 years,Usually (about 90% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I have a rough plan for how to form groups, which I then execute in class,I assign teams ahead of time (e.g., list the students in each team)","Of different gender,Who have a different level of knowledge,Who are not yet familar with each other",Fully Online / Remote,Yes,"Yes, both in class and out-of-class time",Female,United States of America,Nebraska,White,Probably yes,Probably yes,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Probably yes,Agree,"When you are helping other students,When you are off work",Very likely,Strongly agree,"Math skill mastery,Recent math errors,Overall error rate,Which problem each student is working on,Gender","Friendships,Past pairings,Students' personality",Probably yes,Agree,simply be paired with a different partner without further explanation. (e.g. “You proposed to work with Jay. You’ve been paired with Nia.”),Probably yes,Agree,Agree,Probably yes,Agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive","Are idle (the solver is not working or the helper is not responding),The helper directly tells the solver answers to a problem without explanation,Use aggressive language","Socialize and chat frequently,The solver continues to struggle even with the helper's help",Teacher,System,"Verbal praise,Virtual badges in software",Publicly,Once a week,Yes
16,Middle school,Over 10 years,Sometimes (about 50% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen)",Randomly,Fully Online / Remote,Yes,"Yes, during class time",Female,United States of America,Washington,White,Probably yes,Probably yes,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Probably no,Neither agree nor disagree,Never,Very likely,Agree,"Which problem each student is working on,Math skill mastery,Students' personality,Friendships","Recent math errors,Gender,Past pairings,Overall error rate",Very likely,Agree,be told that the teacher rejected their proposed pairing (e.g “The teacher thinks it’s better for you to be paired with Nia”),Very likely,Disagree,Disagree,Probably yes,Somewhat agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive","Use aggressive language,Are idle (the solver is not working or the helper is not responding),The helper directly tells the solver answers to a problem without explanation,The solver continues to struggle even with the helper's help,Socialize and chat frequently",,"Teacher,Student,System",Teacher,"Verbal praise,Virtual badges in software",Depends,Every time they colaborate,Maybe
17,Middle school,Over 10 years,Sometimes (about 50% of the time),"I have a rough plan for how to form groups, which I then execute in class","Who have a different level of knowledge,Who have a similar level of knowledge,Who sit closely to each other,Other, please specify",Fully In-person,Yes,"Yes, during class time",Female,United States of America,Mississippi,White,Very unlikely,Definitely no,The same criterion for all students,Probably yes,Strongly agree,Other (1),Very likely,Somewhat agree,"Which problem each student is working on,Past pairings,Recent math errors,Overall error rate,Math skill mastery","Students' personality,Friendships,Gender",Definitely no,Strongly agree,Other,Definitely no,Strongly disagree,Strongly disagree,Definitely yes,Agree,"Notify teachers,Give students guidance or tips on how to better collaborate","Socialize and chat frequently,Are idle (the solver is not working or the helper is not responding),The helper directly tells the solver answers to a problem without explanation,Use aggressive language","The solver continues to struggle even with the helper's help,Other behavior (1),Other behavior (2)","Teacher,System",Teacher,"Verbal praise,Virtual badges in software",Depends,Every time they colaborate,Maybe
18,Elementary school,Over 10 years,Sometimes (about 50% of the time),"I have a rough plan for how to form groups, which I then execute in class","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge",Fully In-person,Yes,"Yes, both in class and out-of-class time",Female,United States of America,Kansas,White,Very unlikely,Definitely no,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Probably yes,Somewhat agree,When you are helping other students,Very likely,Strongly agree,"Which problem each student is working on,Math skill mastery,Overall error rate,Recent math errors","Students' personality,Gender,Friendships,Past pairings",Probably no,Neither agree nor disagree,be told that the AI system and teacher together rejected their proposed pairing (e.g “The teacher and AI System both think it’s better for you to be paired with Nia”),Definitely no,Strongly disagree,Strongly disagree,Definitely yes,Agree,"Point out the specific unproductive behaviors to the students,Give a warning to the specific student who is not being productive,Separate the pair and let the students work individually","Use aggressive language,The helper directly tells the solver answers to a problem without explanation,The solver continues to struggle even with the helper's help,Are idle (the solver is not working or the helper is not responding)",Socialize and chat frequently,Teacher,Teacher,"Verbal praise,Leader board",Depends,Every time they colaborate,Maybe
19,Middle school,Over 10 years,Occasionally (about 30% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen)",Who have a different level of knowledge,Hybrid of online and in-person,Yes,"Yes, during class time",Male,United States of America,California,White,Neither likely nor unlikely,Neither likely nor unlikely,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Very likely,Agree,When you are helping other students,Probably yes,Somewhat agree,"Math skill mastery,Which problem each student is working on,Recent math errors,Overall error rate,Students' personality,Past pairings,Friendships,Gender",,Neither likely nor unlikely,Neither agree nor disagree,be told that the teacher rejected their proposed pairing (e.g “The teacher thinks it’s better for you to be paired with Nia”),Probably yes,Agree,Somewhat agree,Probably yes,Somewhat agree,Give students guidance or tips on how to better collaborate,"The helper directly tells the solver answers to a problem without explanation,Are idle (the solver is not working or the helper is not responding),The solver continues to struggle even with the helper's help,Use aggressive language,Socialize and chat frequently",,System,Teacher,Leader board,Publicly,Once a week,Maybe
20,Middle school,7-9 years,Sometimes (about 50% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I have a rough plan for how to form groups, which I then execute in class,I assign teams ahead of time (e.g., list the students in each team),I let student choose teammates",Randomly,Hybrid of online and in-person,Yes,"Yes, during class time",Female,United States of America,California,White,Very likely,Neither likely nor unlikely,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Probably no,Somewhat disagree,When you are helping other students,Neither likely nor unlikely,Agree,"Which problem each student is working on,Recent math errors,Math skill mastery,Students' personality,Overall error rate,Past pairings","Gender,Friendships",Very likely,Agree,be told that the AI system and teacher together rejected their proposed pairing (e.g “The teacher and AI System both think it’s better for you to be paired with Nia”),Neither likely nor unlikely,Somewhat disagree,Strongly agree,Very unlikely,Strongly disagree,"Notify teachers,Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students","Use aggressive language,The solver continues to struggle even with the helper's help","Are idle (the solver is not working or the helper is not responding),The helper directly tells the solver answers to a problem without explanation,Socialize and chat frequently","Teacher,Student,System",Teacher,"Extra credit,Verbal praise,Virtual badges in software",Publicly,Every time they colaborate,Yes
21,Middle school,Over 10 years,Sometimes (about 50% of the time),"I have a rough plan for how to form groups, which I then execute in class",Who have a different level of knowledge,Fully Online / Remote,Yes,"Yes, both in class and out-of-class time",Female,United States of America,Indiana,White,Probably no,Probably no,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Probably no,Strongly disagree,Never,Very likely,Agree,"Recent math errors,Math skill mastery,Which problem each student is working on","Gender,Friendships,Students' personality,Past pairings,Overall error rate",Neither likely nor unlikely,Agree,be told that the teacher rejected their proposed pairing (e.g “The teacher thinks it’s better for you to be paired with Nia”),Very unlikely,Agree,Strongly disagree,Very likely,Agree,"Notify teachers,Give a warning to the specific student who is not being productive","Are idle (the solver is not working or the helper is not responding),Use aggressive language,The helper directly tells the solver answers to a problem without explanation,The solver continues to struggle even with the helper's help",Socialize and chat frequently,Teacher,Teacher,"Extra credit,Verbal praise",Publicly,Other/ depends,Maybe
22,Middle school,7-9 years,Frequently (about 70% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I assign teams ahead of time (e.g., list the students in each team)","Who have a similar level of knowledge,Who sit closely to each other",Hybrid of online and in-person,Yes,"Yes, both in class and out-of-class time",Male,United States of America,Arizona,White,Probably yes,Very likely,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Very unlikely,Disagree,When you are off work,Very likely,Agree,"Which problem each student is working on,Recent math errors,Overall error rate,Past pairings,Math skill mastery","Gender,Friendships,Students' personality",Probably yes,Agree,be told that the teacher rejected their proposed pairing (e.g “The teacher thinks it’s better for you to be paired with Nia”),Probably yes,Agree,Agree,Very likely,Agree,"Give students guidance or tips on how to better collaborate,Point out the specific unproductive behaviors to the students","Are idle (the solver is not working or the helper is not responding),The helper directly tells the solver answers to a problem without explanation,Use aggressive language","Socialize and chat frequently,The solver continues to struggle even with the helper's help","Student,System",Teacher,"Verbal praise,Leader board,Virtual badges in software",Publicly,Once a month,Maybe
23,Middle school,4-6 years,Usually (about 90% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I have a rough plan for how to form groups, which I then execute in class,I assign teams ahead of time (e.g., list the students in each team),I let student choose teammates","Randomly,Who have a different level of knowledge,Who have a similar level of knowledge,Who are friends with each other",Hybrid of online and in-person,Yes,"Yes, both in class and out-of-class time",Female,United States of America,California,White,Very likely,Very likely,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Very likely,Agree,When you are helping other students,Very likely,Agree,"Past pairings,Students' personality,Overall error rate,Math skill mastery,Which problem each student is working on,Recent math errors","Gender,Friendships",Probably yes,Somewhat agree,be told that the AI system rejected their proposed pairing (e.g “The system thinks it’s better for you to be paired with Nia”),Very likely,Agree,Somewhat agree,Very unlikely,Somewhat disagree,Give students guidance or tips on how to better collaborate,"Socialize and chat frequently,Are idle (the solver is not working or the helper is not responding),Use aggressive language","The helper directly tells the solver answers to a problem without explanation,The solver continues to struggle even with the helper's help","Teacher,Student,System",Teacher,"Extra credit,Verbal praise",Publicly,Once a month,Yes
24,Middle school,Over 10 years,Sometimes (about 50% of the time),"I team-up students on-the-fly (i.e., in class, immediately before the collaborative activities happen),I have a rough plan for how to form groups, which I then execute in class,I assign teams ahead of time (e.g., list the students in each team),I let student choose teammates","Of the same gender,Who have a similar level of knowledge",Hybrid of online and in-person,Yes,"Yes, both in class and out-of-class time",Male,United States of America,California,White,Probably yes,Probably yes,"Different criteria for each student (e.g. find a partner for Joe based on his level of knowledge mastery, and for Mia based on her personality)",Definitely yes,Agree,When you are helping other students,Definitely yes,Strongly agree,"Gender,Recent math errors,Which problem each student is working on,Math skill mastery,Students' personality,Overall error rate,Friendships",Past pairings,Definitely yes,Strongly agree,be told that the AI system and teacher together rejected their proposed pairing (e.g “The teacher and AI System both think it’s better for you to be paired with Nia”),Probably no,Neither agree nor disagree,Neither agree nor disagree,Very likely,Strongly agree,"Notify teachers,Give students guidance or tips on how to better collaborate,Separate the pair and pair each student with someone else","Use aggressive language,Are idle (the solver is not working or the helper is not responding),The helper directly tells the solver answers to a problem without explanation,Socialize and chat frequently,The solver continues to struggle even with the helper's help",,"Teacher,Student,System",Student,"Verbal praise,Leader board,Virtual badges in software",Publicly,Once a week,Yes
